X Y
-1 51.7166
-0.99 103.838
-0.98 156.254
-0.97 208.852
-0.96 261.521
-0.95 314.151
-0.94 366.635
-0.93 418.867
-0.92 470.745
-0.91 522.172
-0.9 573.056
-0.89 623.31
-0.88 672.854
-0.87 721.614
-0.86 769.522
-0.85 816.518
-0.84 862.551
-0.83 907.576
-0.82 951.555
-0.81 994.46
-0.8 1036.27
-0.79 1076.97
-0.78 1116.54
-0.77 1155
-0.76 1192.35
-0.75 1228.6
-0.74 1263.77
-0.73 1297.87
-0.72 1330.95
-0.71 1363.03
-0.7 1394.14
-0.69 1424.33
-0.68 1453.64
-0.67 1482.11
-0.66 1509.79
-0.65 1536.72
-0.64 1562.96
-0.63 1588.54
-0.62 1613.53
-0.61 1637.97
-0.6 1661.9
-0.59 1685.38
-0.58 1708.44
-0.57 1731.14
-0.56 1753.51
-0.55 1775.59
-0.54 1797.43
-0.53 1819.07
-0.52 1840.53
-0.51 1861.85
-0.5 1883.06
-0.49 1904.19
-0.48 1925.27
-0.47 1946.33
-0.46 1967.38
-0.45 1988.45
-0.44 2009.55
-0.43 2085.45
-0.42 2147.84
-0.41 2209.32
-0.4 2270.45
-0.39 2331.09
-0.38 2391.07
-0.37 2450.21
-0.36 2508.35
-0.35 2565.34
-0.34 2621.06
-0.33 2675.38
-0.32 2728.22
-0.31 2779.48
-0.3 2829.1
-0.29 2877.02
-0.28 2923.19
-0.27 2967.58
-0.26 3010.16
-0.25 3050.91
-0.24 3089.83
-0.23 3126.9
-0.22 3162.15
-0.21 3195.57
-0.2 3227.2
-0.19 3257.06
-0.18 3285.17
-0.17 3311.59
-0.16 3336.35
-0.15 3359.5
-0.14 3381.1
-0.13 3401.2
-0.12 3419.87
-0.11 3437.16
-0.1 3453.15
-0.09 3467.89
-0.08 3481.47
-0.07 3493.93
-0.06 3505.35
-0.05 3515.8
-0.04 3525.35
-0.03 3534.05
-0.02 3541.97
-0.01 3549.16
0 3555.7
0.01 3561.62
0.02 3566.98
0.03 3571.84
0.04 3576.23
0.05 3580.2
0.06 3583.8
0.07 3587.05
0.08 3589.99
0.09 3592.65
0.1 3595.06
0.11 3597.25
0.12 3599.23
0.13 3601.04
0.14 3602.68
0.15 3604.18
0.16 3605.54
0.17 3606.79
0.18 3607.92
0.19 3608.96
0.2 3609.92
0.21 3610.79
0.22 3611.58
0.23 3612.31
0.24 3612.98
0.25 3613.59
0.26 3614.14
0.27 3614.64
0.28 3615.1
0.29 3615.52
0.3 3615.89
0.31 3616.23
0.32 3616.54
0.33 3616.81
0.34 3617.05
0.35 3617.27
0.36 3617.46
0.37 3617.63
0.38 3617.78
0.39 3617.91
0.4 3618.03
0.41 3618.13
0.42 3618.21
0.43 3618.29
0.44 3618.35
0.45 3618.4
0.46 3618.45
0.47 3618.49
0.48 3618.52
0.49 3618.55
0.5 3618.57
0.51 3618.59
0.52 3618.6
0.53 3618.61
0.54 3618.62
0.55 3618.62
0.56 3618.62
0.57 3618.62
0.58 3618.62
0.59 3618.61
0.6 3618.6
0.61 3618.59
0.62 3618.57
0.63 3618.55
0.64 3618.52
0.65 3618.49
0.66 3618.44
0.67 3618.39
0.68 3618.33
0.69 3618.26
0.7 3618.18
0.71 3618.08
0.72 3617.96
0.73 3617.83
0.74 3617.67
0.75 3617.49
0.76 3617.28
0.77 3617.05
0.78 3616.78
0.79 3616.49
0.8 3616.15
0.81 3615.77
0.82 3615.36
0.83 3614.9
0.84 3614.39
0.85 3613.84
0.86 3613.23
0.87 3612.58
0.88 3611.88
0.89 3611.12
0.9 3610.32
0.91 3609.47
0.92 3608.57
0.93 3607.62
0.94 3606.63
0.95 3605.6
0.96 3604.53
0.97 3603.44
0.98 3602.31
0.99 3601.16
